# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 275  of event 'cycles:u'
# Event count (approx.): 958061705
#
# Overhead  Command          Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.37%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<yoctui_protocol::daemon::LifecycleState>
     0.36%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui::daemon_sdk::DaemonSdkSupervisor>::try_event
     0.36%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui_protocol::daemon::DaemonBuildEvent as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.35%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui::daemon_wic::DaemonWicSupervisor>::try_event
     0.34%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] core::fmt::float::float_to_decimal_common_exact::<f64>
     0.32%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui::daemon_security::DaemonSecurityMapperSupervisor>::try_event
     0.32%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <core::str::pattern::CharSearcher as core::str::pattern::Searcher>::next_match
     0.31%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] yoctui_protocol::daemon_ipc::map_timeout
     0.30%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <std::sys::pal::unix::time::Timespec>::sub_timespec
     0.28%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <core::marker::PhantomData<yoctui_protocol::daemon::DaemonPressureCounters> as serde_core::de::DeserializeSeed>::deserialize::<serde::private::de::content::ContentDeserializer<serde_json::error::Error>>
     0.23%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] yoctui_ui::bounded_status_line
     0.19%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] yoctui_ui::inspector
     0.10%  yoctui-m52-opti  [vdso]                        [.] 0x0000000000000a0b
     0.10%  yoctui-m52-opti  libc.so.6                     [.] __syscall_cancel
     0.10%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <alloc::raw_vec::RawVec<(usize, alloc::vec::Vec<ratatui_core::text::line::Line>, usize)>>::grow_one


#
# (Cannot load tips.txt file, please install perf!)
#
